"","Ticker","category"
"1","AAR","Autoparts and Automobile Retailer"
"2","ACFR","Arts, Crafts and Fabric Retailers"
"3","BPR","Baby Products Retailers"
"4","BSR","Bags and Suitcases Retailer"
"5","CSJWAR","Clothing, Shoes, Jewelery, Watch and Accessories Retailer"
"6","CVPR","Cigarette & Vape Prodcuts Retailer"
"7","ESCR","Eyeglasses, Sunglasses and Contacts Retailer"
"8","ETR","Electronics and Technology Retailer"
"9","FBGR","Foods,Beverages and Groceries Retailer"
"10","FSPSR","Fitness & Sports Products and Services Retailer"
"11","G","General"
"12","GPR","Gardening Products Retailer"
"13","GTR","Gifts and Toys Retailer"
"14","HICPR","Home Improvement and Cleaning Products Retailer"
"15","HSPPR","Health Services and Pharamceutical Products Retailers"
"16","KTER","Kitchen tools and Equipments Retailer"
"17","MEEPR","Media, Education and Entertainment Products Retailer"
"18","MEP","Marketing and E-commerce Platform"
"19","MPR","Metal Products Retailer"
"20","MPSR","Music Products and Services Retailer"
"21","MS","Mail Services"
"22","ORMR","Outdoor Recreation Merchandise Retailer"
"23","OSSR","Office and Stationary Supplies Retailer"
"24","PCBPR","Personal Care and Beauty Products Retailer"
"25","PDS","Packaging And Distribution Services"
"26","PLPR","Printing and Labels Products Retailer"
"27","PPEMSR","Party Products and Event Management Services Retailer"
"28","PPR","Pet Products Retailer"
"29","PVER","Photo and Video Equipment Retailer"
"30","WITER","Weapons, Industrial Tools and Equipment Retailer"
