"","Domain","Coefficient of desktop","Ticker","Category","Coefficient of mobile"
"1","amazon.com",0.285612034020063,"G","General",-0.0390676802844829
"2","walmart.com",0.285612034020063,"G","General",-0.0390676802844829
"3","microsoft.com",0.314609859660826,"ETR","Electronics and Technology Retailer",0.0695791501928119
"4","homedepot.com",0.281758216384021,"HICPR","Home Improvement and Cleaning Products Retailer",-0.00313010732272967
"5","etsy.com",0.281758216384021,"HICPR","Home Improvement and Cleaning Products Retailer",-0.00313010732272967
"6","apple.com",0.314609859660826,"ETR","Electronics and Technology Retailer",0.0695791501928119
"7","target.com",0.285612034020063,"G","General",-0.0390676802844829
"8","bestbuy.com",0.314609859660826,"ETR","Electronics and Technology Retailer",0.0695791501928119
"9","lowes.com",0.281758216384021,"HICPR","Home Improvement and Cleaning Products Retailer",-0.00313010732272967
"10","wayfair.com",0.281758216384021,"HICPR","Home Improvement and Cleaning Products Retailer",-0.00313010732272967
"11","kohls.com",0.285612034020063,"G","General",-0.0390676802844829
"12","macys.com",0.285612034020063,"G","General",-0.0390676802844829
"13","costco.com",0.285612034020063,"G","General",-0.0390676802844829
"14","walgreens.com",0.325612034020063,"HSPPR","Health Services and Pharamceutical Products Retailers",-0.014067680284483
"15","cvs.com",0.325612034020063,"HSPPR","Health Services and Pharamceutical Products Retailers",-0.014067680284483
"16","play.google.com",0.250999679298048,"MEEPR","Media, Education and Entertainment Products Retailer",0.0443710600653228
"17","gap.com",0.228842945839854,"CSJWAR","Clothing, Shoes, Jewelery, Watch and Accessories Retailer",-0.0293798154757166
"18","jcpenney.com",0.285612034020063,"G","General",-0.0390676802844829
"19","nike.com",0.228842945839854,"CSJWAR","Clothing, Shoes, Jewelery, Watch and Accessories Retailer",-0.0293798154757166
"20","gamestop.com",0.250999679298048,"MEEPR","Media, Education and Entertainment Products Retailer",0.0443710600653228
"21","harborfreight.com",0.312624759473536,"WITER","Weapons, Industrial Tools and Equipment Retailer",-0.0588595901569939
"22","groupon.com",0.285612034020063,"G","General",-0.0390676802844829
"23","chewy.com",0.280052755471175,"PPR","Pet Products Retailer",-0.082401791876518
"24","newegg.com",0.285612034020063,"G","General",-0.0390676802844829
"25","bedbathandbeyond.com",0.281758216384021,"HICPR","Home Improvement and Cleaning Products Retailer",-0.00313010732272967
"26","ikea.com",0.281758216384021,"HICPR","Home Improvement and Cleaning Products Retailer",-0.00313010732272967
"27","qvc.com",0.285612034020063,"G","General",-0.0390676802844829
"28","kroger.com",0.279086583113118,"FBGR","Foods,Beverages and Groceries Retailer",-0.00198386053946115
"29","autozone.com",0.295540030017703,"AAR","Autoparts and Automobile Retailer",-0.085109882004007
"30","dickssportinggoods.com",0.228842945839854,"CSJWAR","Clothing, Shoes, Jewelery, Watch and Accessories Retailer",-0.0293798154757166
"31","overstock.com",0.281758216384021,"HICPR","Home Improvement and Cleaning Products Retailer",-0.00313010732272967
"32","dell.com",0.314609859660826,"ETR","Electronics and Technology Retailer",0.0695791501928119
"33","michaels.com",0.281758216384021,"HICPR","Home Improvement and Cleaning Products Retailer",-0.00313010732272967
"34","ulta.com",0.256722214382841,"PCBPR","Personal Care and Beauty Products Retailer",-0.0624012081824917
"35","nordstrom.com",0.228842945839854,"CSJWAR","Clothing, Shoes, Jewelery, Watch and Accessories Retailer",-0.0293798154757166
"36","menards.com",0.281758216384021,"HICPR","Home Improvement and Cleaning Products Retailer",-0.00313010732272967
"37","fitbit.com",0.314609859660826,"ETR","Electronics and Technology Retailer",0.0695791501928119
"38","bhphotovideo.com",0.236486953844575,"PVER","Photo and Video Equipment Retailer",0.0902045879633316
"39","sephora.com",0.256722214382841,"PCBPR","Personal Care and Beauty Products Retailer",-0.0624012081824917
"40","hobbylobby.com",0.281758216384021,"HICPR","Home Improvement and Cleaning Products Retailer",-0.00313010732272967
"41","rei.com",0.294637484927008,"ORMR","Outdoor Recreation Merchandise Retailer",-0.0761515000295048
"42","tractorsupply.com",0.281758216384021,"HICPR","Home Improvement and Cleaning Products Retailer",-0.00313010732272967
"43","shop.advanceautoparts.com",0.295540030017703,"AAR","Autoparts and Automobile Retailer",-0.085109882004007
"44","cabelas.com",0.294637484927008,"ORMR","Outdoor Recreation Merchandise Retailer",-0.0761515000295048
"45","victoriassecret.com",0.228842945839854,"CSJWAR","Clothing, Shoes, Jewelery, Watch and Accessories Retailer",-0.0293798154757166
"46","staples.com",0.310304769479437,"OSSR","Office and Stationary Supplies Retailer",0.107495914141816
"47","officedepot.com",0.310304769479437,"OSSR","Office and Stationary Supplies Retailer",0.107495914141816
"48","shutterfly.com",0.236486953844575,"PVER","Photo and Video Equipment Retailer",0.0902045879633316
"49","joann.com",0.251099308566591,"ACFR","Arts, Crafts and Fabric Retailers",-0.0192757704119721
"50","petco.com",0.280052755471175,"PPR","Pet Products Retailer",-0.082401791876518
"51","adidas.com",0.228842945839854,"CSJWAR","Clothing, Shoes, Jewelery, Watch and Accessories Retailer",-0.0293798154757166
"52","biglots.com",0.228842945839854,"CSJWAR","Clothing, Shoes, Jewelery, Watch and Accessories Retailer",-0.0293798154757166
"53","guitarcenter.com",0.312768767478256,"MPSR","Music Products and Services Retailer",0.0402040042693053
"54","oreillyauto.com",0.295540030017703,"AAR","Autoparts and Automobile Retailer",-0.085109882004007
"55","rockauto.com",0.295540030017703,"AAR","Autoparts and Automobile Retailer",-0.085109882004007
"56","publix.com",0.279086583113118,"FBGR","Foods,Beverages and Groceries Retailer",-0.00198386053946115
